app_id;prompt;boundary;nonresponsive;overlap;all;dimensions
12740;instruction;0;0;0;13;0
12740;pd_zs;0;0;0;13;0
12740;pd_fs;1;1;0;13;0
12740;ref_instruction;0;1;0;13;0
14283;instruction;0;1;0;6;0
14283;pd_zs;0;4;0;6;0
14283;pd_fs;0;4;0;5;0
14283;ref_instruction;1;4;0;6;0
18782;instruction;0;0;0;6;0
18782;pd_zs;0;5;0;6;0
18782;pd_fs;0;3;0;6;0
18782;ref_instruction;0;0;0;6;0
20947;instruction;0;0;0;8;0
20947;pd_zs;0;2;0;9;1
20947;pd_fs;0;0;0;9;1
20947;ref_instruction;0;0;0;8;0
22151;instruction;0;0;0;5;0
22151;pd_zs;1;0;0;5;0
22151;pd_fs;0;0;0;6;0
22151;ref_instruction;0;1;0;4;0
27360;instruction;0;1;1;2;0
27360;pd_zs;0;2;0;3;1
27360;pd_fs;0;0;0;2;0
27360;ref_instruction;1;0;1;3;0
27382;instruction;0;0;1;5;0
27382;pd_zs;0;3;0;6;0
27382;pd_fs;0;0;0;5;0
27382;ref_instruction;0;1;0;6;0
27707;instruction;0;2;0;4;1
27707;pd_zs;0;0;0;4;0
27707;pd_fs;0;2;0;4;0
27707;ref_instruction;0;0;0;4;0
30982;instruction;0;0;0;5;0
30982;pd_zs;0;1;0;5;0
30982;pd_fs;0;2;0;3;0
30982;ref_instruction;0;3;0;3;0
31390;instruction;0;0;0;4;0
31390;pd_zs;0;1;2;2;0
31390;pd_fs;0;4;0;4;0
31390;ref_instruction;0;0;0;4;0
32310;instruction;0;0;0;3;0
32310;pd_zs;0;0;1;5;0
32310;pd_fs;0;3;0;4;0
32310;ref_instruction;0;0;0;3;0
3261;instruction;1;1;0;6;0
3261;pd_zs;0;6;0;7;0
3261;pd_fs;0;2;0;6;0
3261;ref_instruction;0;3;0;7;0
33383;instruction;0;0;0;4;0
33383;pd_zs;0;2;0;3;0
33383;pd_fs;0;1;1;3;0
33383;ref_instruction;0;2;1;4;1
34346;instruction;0;5;0;11;0
34346;pd_zs;0;1;0;25;0
34346;pd_fs;0;2;1;4;0
34346;ref_instruction;0;1;1;4;0
34517;instruction;1;0;0;5;0
34517;pd_zs;0;2;0;6;0
34517;pd_fs;0;2;1;4;0
34517;ref_instruction;0;0;0;8;0
34527;instruction;0;0;0;7;0
34527;pd_zs;0;1;0;8;0
34527;pd_fs;0;1;0;8;0
34527;ref_instruction;0;3;2;8;0
35526;instruction;0;3;0;3;0
35526;pd_zs;0;1;1;4;0
35526;pd_fs;0;4;0;5;0
35526;ref_instruction;0;3;0;5;0
3727;instruction;0;0;0;3;0
3727;pd_zs;0;6;0;6;0
3727;pd_fs;1;2;0;2;0
3727;ref_instruction;0;0;0;4;0
37505;instruction;0;0;0;6;0
37505;pd_zs;2;0;0;32;0
37505;pd_fs;0;3;0;4;0
37505;ref_instruction;0;6;0;6;0
38961;instruction;0;0;0;4;0
38961;pd_zs;0;0;0;5;0
38961;pd_fs;0;4;0;4;0
38961;ref_instruction;0;0;0;6;0
40673;instruction;0;0;1;3;1
40673;pd_zs;0;2;0;10;1
40673;pd_fs;0;1;1;2;0
40673;ref_instruction;0;1;0;3;0
43872;instruction;0;4;0;4;0
43872;pd_zs;0;3;0;5;1
43872;pd_fs;1;2;0;4;0
43872;ref_instruction;0;0;1;5;0
43977;instruction;0;2;0;4;0
43977;pd_zs;0;4;0;4;0
43977;pd_fs;0;2;0;4;0
43977;ref_instruction;0;0;0;4;0
44756;instruction;0;1;0;3;0
44756;pd_zs;1;2;0;3;0
44756;pd_fs;0;2;0;3;0
44756;ref_instruction;0;0;0;3;0
47926;instruction;0;0;0;6;0
47926;pd_zs;0;1;0;7;0
47926;pd_fs;0;0;0;5;0
